playerId;playerName;country;height;weight;season_exp;jersey;position
1630543;Isaiah Jackson;USA;06-sep;205;1;22;Forward
1630198;Isaiah Joe;USA;06-mar;165;2;11;Guard
1630587;Isaiah Livers;USA;06-jun;232;1;12;Forward
1630600;Isaiah Mobley;USA;06-ago;238;0;15;Forward
1629676;Isaiah Roby;USA;06-ago;230;3;18;Forward
1630191;Isaiah Stewart;USA;06-ago;250;2;28;Forward-Center
1630225;Isaiah Todd;USA;06-sep;219;1;14;Forward
202397;Ish Smith;USA;6-0;175;12;14;Guard
1630688;Ish Wainright;USA;06-may;250;1;12;Forward
1627826;Ivica Zubac;Croatia;7-0;240;6;40;Center
1631120;JD Davison;USA;06-ene;195;0;20;Guard
1630550;JT Thor;USA;06-sep;203;1;21;Forward
1629630;Ja Morant;USA;06-feb;174;3;12;Guard
203210;JaMychal Green;USA;06-sep;227;8;1;Forward-Center
201580;JaVale McGee;USA;7-0;270;14;0;Center-Forward
1631095;Jabari Smith Jr.;USA;06-nov;220;0;1;Forward
1631133;Jabari Walker;USA;06-jul;200;0;34;Forward
1631298;Jack White;Australia;06-jul;225;0;10;Forward
1631367;Jacob Gilyard;USA;05-sep;160;0;;Guard
1630702;Jaden Hardy;USA;06-mar;198;0;3;Guard
1631093;Jaden Ivey;USA;06-abr;195;0;23;Guard
1630183;Jaden McDaniels;USA;06-sep;185;2;3;Forward
1630531;Jaden Springer;USA;06-abr;202;1;11;Guard
203109;Jae Crowder;USA;06-jun;235;10;99;Forward
1630256;Jae'Sean Tate;USA;06-may;230;2;8;Forward
1631222;Jake LaRavia;USA;06-jul;235;0;3;Forward
1627751;Jakob Poeltl;Austria;07-ene;245;6;19;Center
1628973;Jalen Brunson;USA;06-feb;190;4;11;Guard
1631105;Jalen Duren;USA;06-nov;250;0;0;Center
1630224;Jalen Green;USA;06-abr;186;1;4;Guard
1630552;Jalen Johnson;USA;06-ago;219;1;1;Forward
1629667;Jalen McDaniels;USA;06-sep;205;3;7;Forward-Center
1630188;Jalen Smith;USA;06-sep;215;2;25;Forward-Center
1630591;Jalen Suggs;USA;06-may;205;1;4;Guard
1631114;Jalen Williams;USA;06-may;211;0;8;Guard-Forward
1631288;Jamal Cain;USA;06-jun;191;0;8;Forward
1627750;Jamal Murray;Canada;06-abr;215;5;27;Guard
1631123;Jamaree Bouyea;USA;06-feb;180;0;;Guard
1630547;James Bouknight;USA;06-abr;190;1;2;Guard
201935;James Harden;USA;06-may;220;13;1;Guard
201949;James Johnson;USA;06-jul;240;13;16;Forward
1630164;James Wiseman;USA;7-0;240;1;13;Center
1630215;Jared Butler;USA;06-mar;193;1;14;Guard
1631197;Jared Rhoden;USA;06-jun;210;0;8;Guard
1628991;Jaren Jackson Jr.;USA;06-oct;242;4;13;Forward-Center
1629020;Jarred Vanderbilt;USA;06-ago;214;4;2;Forward
1629714;Jarrell Brantley;USA;06-may;250;2;;Forward
1628386;Jarrett Allen;USA;06-sep;243;5;31;Center
1629633;Jarrett Culver;USA;06-jun;195;3;;Guard-Forward
1630554;Jason Preston;USA;06-mar;181;0;17;Guard
1629750;Javonte Green;USA;06-may;205;3;24;Guard
1629637;Jaxson Hayes;USA;7-0;220;3;10;Center-Forward
1630643;Jay Huff;USA;07-ene;240;1;34;Center
1630206;Jay Scrubb;USA;06-may;220;2;;Guard
1627759;Jaylen Brown;USA;06-jun;223;6;7;Guard-Forward
1629669;Jaylen Nowell;USA;06-abr;201;3;4;Guard
1631119;Jaylin Williams;USA;06-sep;240;0;6;Forward
1628369;Jayson Tatum;USA;06-ago;210;5;0;Forward-Guard
1631466;Jeenathan Williams;USA;06-may;205;0;49;Guard
1630288;Jeff Dowtin Jr.;USA;06-mar;177;1;20;Guard
201145;Jeff Green;USA;06-ago;235;14;32;Forward
203924;Jerami Grant;USA;06-ago;210;8;9;Forward
1630526;Jeremiah Robinson-Earl;USA;06-ago;240;1;50;Forward
1631110;Jeremy Sochan;Poland;06-ago;230;0;10;Forward
1630579;Jericho Sims;USA;06-oct;250;1;45;Center
1628975;Jevon Carter;USA;06-ene;200;4;5;Guard
202710;Jimmy Butler;USA;06-jul;230;11;22;Forward
1629111;Jock Landale;Australia;06-nov;255;1;11;Center
203925;Joe Harris;USA;06-jun;220;8;12;Guard-Forward
204060;Joe Ingles;Australia;06-sep;220;8;7;Forward-Guard
1630580;Joe Wieskamp;USA;06-jun;205;1;11;Guard-Forward
203954;Joel Embiid;Cameroon;7-0;280;6;21;Center-Forward
1631219;John Butler Jr.;USA;7-0;190;0;21;Forward
1628381;John Collins;USA;06-sep;226;5;20;Forward-Center
1629723;John Konchar;USA;06-may;210;3;46;Guard
202322;John Wall;USA;06-mar;210;10;;Guard
1631098;Johnny Davis;USA;06-abr;195;0;1;Guard
1630548;Johnny Juzang;USA;06-jun;209;0;33;Guard
202685;Jonas Valanciunas;Lithuania;06-nov;265;10;17;Center
1628371;Jonathan Isaac;USA;06-oct;230;3;1;Forward
1630228;Jonathan Kuminga;DRC;06-jul;225;1;0;Forward
203903;Jordan Clarkson;USA;06-may;194;8;0;Guard
1630692;Jordan Goodwin;USA;06-mar;200;1;7;Guard
1631160;Jordan Hall;USA;06-jul;215;0;;Guard
1629162;Jordan McLaughlin;USA;6-0;185;3;6;Guard
1629670;Jordan Nwora;USA;06-sep;225;2;13;Forward
1629673;Jordan Poole;USA;06-abr;194;3;3;Guard
1630648;Jordan Schakel;USA;06-jun;200;1;;Guard
1630631;Jose Alvarado;USA;6-0;179;1;15;Guard
1630528;Josh Christopher;USA;06-abr;215;1;9;Guard
1630581;Josh Giddey;Australia;06-ago;216;1;3;Guard
1630182;Josh Green;Australia;06-jul;200;2;8;Guard
1628404;Josh Hart;USA;06-abr;215;5;3;Guard
1631169;Josh Minott;USA;06-ago;205;0;8;Forward
1629006;Josh Okogie;Nigeria;06-abr;213;4;2;Guard
1626196;Josh Richardson;USA;06-jun;200;7;2;Guard
1630563;Joshua Primo;Canada;06-jun;189;1;;Guard
201950;Jrue Holiday;USA;06-may;205;13;21;Guard
1629308;Juan Toscano-Anderson;USA;06-jun;209;3;95;Forward
1627823;Juancho Hernangomez;Spain;06-sep;214;6;;Forward
1630577;Julian Champagnie;USA;06-jul;217;0;30;Forward
203944;Julius Randle;USA;06-ago;250;8;30;Forward-Center
1630551;Justin Champagnie;USA;06-jun;206;1;99;Guard-Forward
203200;Justin Holiday;USA;06-jun;180;9;0;Forward-Guard
1628382;Justin Jackson;USA;06-ago;220;5;;Forward
1631303;Justin Minaya;USA;06-jul;210;0;;Forward
1626159;Justise Winslow;USA;06-jun;222;7;26;Forward-Guard
203994;Jusuf Nurkic;Bosnia and Herzegovina;7-0;290;8;27;Center
1629644;KZ Okpala;USA;06-ago;215;3;;Forward-Guard
1630539;Kai Jones;Bahamas;06-nov;221;1;23;Center-Forward
1626157;Karl-Anthony Towns;USA;7-0;248;7;32;Center-Forward
202695;Kawhi Leonard;USA;06-jul;225;10;2;Forward
1631099;Keegan Murray;USA;06-ago;225;0;13;Forward
1628966;Keita Bates-Diop;USA;06-ago;229;4;31;Forward
1629640;Keldon Johnson;USA;06-may;220;3;3;Forward-Guard
203482;Kelly Olynyk;Canada;06-nov;240;9;41;Forward-Center
1626162;Kelly Oubre Jr.;USA;06-jun;203;7;12;Forward-Guard
202689;Kemba Walker;USA;6-0;184;11;;Guard
1631112;Kendall Brown;USA;06-jul;205;0;10;Guard
1629134;Kendrick Nunn;USA;06-mar;190;2;20;Guard
1631113;Kennedy Chandler;USA;05-nov;170;0;;Guard
1631254;Kenneth Lofton Jr.;USA;06-jun;275;0;6;Forward
1629026;Kenrich Williams;USA;06-jun;210;4;34;Guard-Forward
203484;Kentavious Caldwell-Pope;USA;06-may;204;9;5;Guard
1630231;Kenyon Martin Jr.;USA;06-jul;215;2;6;Forward
1631165;Keon Ellis;USA;06-mar;175;0;23;Guard
1630553;Keon Johnson;USA;06-mar;185;1;6;Guard
1630556;Kessler Edwards;USA;06-jul;203;1;17;Forward
201142;Kevin Durant;USA;06-oct;240;14;35;Forward
1628989;Kevin Huerter;USA;06-jul;198;4;9;Guard-Forward
1628995;Kevin Knox II;USA;06-jul;215;4;11;Forward
201567;Kevin Love;USA;06-ago;251;14;0;Forward-Center
1629645;Kevin Porter Jr.;USA;06-abr;203;3;3;Guard-Forward
1630284;Kevon Harris;USA;06-jun;216;0;7;Guard
1626172;Kevon Looney;USA;06-sep;222;7;5;Forward
203920;Khem Birch;Canada;06-ago;233;5;24;Center
203114;Khris Middleton;USA;06-jul;222;10;22;Forward
1630165;Killian Hayes;France;06-may;195;2;7;Guard
1630184;Kira Lewis Jr.;USA;06-ene;170;2;13;Guard
202691;Klay Thompson;USA;06-jun;220;9;11;Guard
1628424;Kobi Simmons;USA;06-may;180;2;23;Guard
1627739;Kris Dunn;USA;06-mar;205;6;11;Guard
204001;Kristaps Porzingis;Latvia;07-mar;240;6;6;Forward-Center
203937;Kyle Anderson;USA;06-sep;230;8;5;Forward-Guard
1628398;Kyle Kuzma;USA;06-sep;221;5;33;Forward
200768;Kyle Lowry;USA;6-0;196;16;7;Guard
202681;Kyrie Irving;Australia;06-feb;195;11;2;Guard
1630163;LaMelo Ball;USA;06-jul;180;2;1;Guard
1630205;Lamar Stevens;USA;06-jun;230;2;8;Forward
1629013;Landry Shamet;USA;06-abr;190;4;14;Guard
1626204;Larry Nance Jr.;USA;06-ago;245;7;22;Forward-Center
1628374;Lauri Markkanen;Finland;7-0;240;5;23;Forward-Center
2544;LeBron James;USA;06-sep;250;19;6;Forward
1630195;Leandro Bolmaro;Argentina;06-jun;200;1;;Forward
1631311;Lester Quinones;USA;06-abr;208;0;25;Guard
1629623;Lindell Wigginton;Canada;06-ene;189;1;28;Guard
1630322;Lindy Waters III;USA;06-jun;210;1;12;Forward
1629022;Lonnie Walker IV;USA;06-abr;204;4;4;Guard-Forward
1629663;Louis King;USA;06-jul;205;3;23;Forward
1629652;Luguentz Dort;Canada;06-abr;220;3;5;Guard
1629029;Luka Doncic;Slovenia;06-jul;230;4;77;Forward-Guard
1630568;Luka Garza;USA;06-oct;243;1;55;Center
1629677;Luka Samanic;Croatia;06-oct;227;2;19;Forward
1628379;Luke Kennard;USA;06-may;206;5;10;Guard
1628436;Luke Kornet;USA;07-feb;250;5;40;Center-Forward
1630644;Mac McClung;USA;06-feb;185;1;9;Guard
1630201;Malachi Flynn;USA;06-ene;175;2;22;Guard
1631103;Malaki Branham;USA;06-abr;180;0;22;Forward
1627763;Malcolm Brogdon;USA;06-abr;229;6;13;Guard
1630792;Malcolm Hill;USA;06-jun;220;1;;Forward
