game_id;team_id;period1Score;period2Score;period3Score;period4Score
'0022201114';1610612741;29;34;28;27
'0022200728';1610612758;23;27;17;28
'0022200728';1610612761;24;34;26;29
'0022201209';1610612740;27;33;23;30
'0022201209';1610612752;30;30;23;22
'0022200903';1610612765;22;22;26;21
'0022200903';1610612761;22;22;27;24
'0022200665';1610612749;44;23;38;25
'0022200665';1610612761;34;40;23;25
'0022201068';1610612749;33;25;31;29
'0022201068';1610612761;29;27;39;16
'0022201212';1610612747;30;31;35;25
'0022201212';1610612756;34;28;27;18
'0022200396';1610612765;26;23;41;27
'0022200396';1610612747;32;29;30;33
'0022200144';1610612766;18;30;24;28
'0022200144';1610612764;26;20;30;32
'0022200525';1610612738;27;33;24;32
'0022200525';1610612746;26;23;36;25
'0022200978';1610612753;26;34;32;31
'0022200978';1610612749;36;34;32;32
'0022200071';1610612753;22;29;31;31
'0022200071';1610612766;19;11;23;40
'0022200245';1610612745;28;37;29;26
'0022200245';1610612744;40;21;36;30
'0022200793';1610612751;25;30;37;33
'0022200793';1610612764;44;29;26;24
'0022200388';1610612754;38;38;24;33
'0022200388';1610612751;40;29;26;41
'0022200815';1610612757;22;26;23;37
'0022200815';1610612749;30;28;37;32
'0022200001';1610612738;24;39;35;28
'0022200001';1610612755;29;34;25;29
'0022200771';1610612763;32;25;33;22
'0022200771';1610612757;26;26;32;38
'0022200409';1610612755;39;41;21;22
'0022200409';1610612758;32;23;28;20
'0022200170';1610612746;38;16;33;27
'0022200170';1610612747;21;31;23;26
'0022200858';1610612739;34;31;26;26
'0022200858';1610612759;19;30;32;28
'0022200950';1610612741;29;35;21;0
'0022200950';1610612756;40;20;34;0
'0022200564';1610612766;26;21;26;34
'0022200564';1610612763;40;36;26;29
'0022200663';1610612763;29;39;39;29
'0022200663';1610612756;36;29;23;18
'0022200172';1610612764;28;30;29;26
'0022200172';1610612742;34;27;22;22
'0022200137';1610612750;40;28;35;26
'0022200137';1610612745;34;15;34;34
'0022201027';1610612766;27;21;28;28
'0022201027';1610612739;30;33;35;22
'0022200341';1610612750;29;28;44;27
'0022200341';1610612760;32;31;34;38
'0022201197';1610612753;42;15;16;21
'0022201197';1610612739;33;34;28;23
'0022200034';1610612742;39;25;35;38
'0022200034';1610612763;17;19;35;25
'0022200515';1610612765;27;39;26;29
'0022200515';1610612753;23;24;30;24
'0022200574';1610612747;32;20;27;33
'0022200574';1610612748;23;25;30;31
'0022200577';1610612742;20;26;19;30
'0022200577';1610612738;29;35;25;35
'0022201187';1610612744;36;33;33;34
'0022201187';1610612760;39;40;27;19
'0022200555';1610612751;37;37;34;31
'0022200555';1610612759;25;22;32;24
'0022200803';1610612754;25;21;38;19
'0022200803';1610612739;27;35;36;24
'0022200472';1610612745;31;33;23;23
'0022200472';1610612753;25;29;31;31
'0022200278';1610612745;38;31;25;34
'0022200278';1610612737;33;39;32;18
'0022200288';1610612759;34;34;29;41
'0022200288';1610612747;33;37;36;37
'0022200970';1610612746;30;37;30;38
'0022200970';1610612763;28;33;51;17
'0022200300';1610612764;38;39;32;33
'0022200300';1610612750;33;25;39;30
'0022200616';1610612757;20;30;23;33
'0022200616';1610612753;33;17;32;27
'0022200745';1610612737;28;25;28;32
'0022200745';1610612746;22;36;26;36
'0022200810';1610612751;27;26;35;28
'0022200810';1610612746;29;26;36;33
'0022200901';1610612744;26;40;20;30
'0022200901';1610612745;26;23;28;24
'0022200693';1610612764;37;33;30;38
'0022200693';1610612753;26;31;34;27
'0022200025';1610612750;41;23;23;33
'0022200025';1610612762;26;29;33;32
'0022201070';1610612747;28;31;25;27
'0022201070';1610612753;25;24;32;24
'0022201080';1610612740;27;37;27;28
'0022201080';1610612759;16;23;26;19
'0022200358';1610612742;33;34;29;34
'0022200358';1610612756;15;26;34;36
'0022200712';1610612758;47;19;34;33
'0022200712';1610612763;33;28;29;10
'0022201140';1610612741;20;31;25;34
'0022201140';1610612747;31;28;26;36
'0022200272';1610612766;29;23;39;19
'0022200272';1610612750;34;28;21;25
'0022200404';1610612763;35;27;40;26
'0022200404';1610612737;29;22;25;27
'0022201161';1610612748;44;32;26;27
'0022201161';1610612742;31;33;32;26
'0022200750';1610612762;34;32;18;24
'0022200750';1610612742;23;25;28;24
'0022200281';1610612760;32;27;28;23
'0022200281';1610612741;30;29;21;30
'0022200403';1610612764;25;30;28;17
'0022200403';1610612751;29;33;32;18
'0022201086';1610612742;33;30;30;32
'0022201086';1610612744;30;35;31;31
'0022201107';1610612737;39;33;33;38
'0022201107';1610612754;35;39;24;32
'0022200651';1610612751;24;26;30;22
'0022200651';1610612760;28;20;27;37
'0022200492';1610612747;31;36;20;43
'0022200492';1610612766;27;40;30;37
'0022200239';1610612746;40;24;27;28
'0022200239';1610612759;22;26;21;28
'0022200512';1610612742;28;27;27;33
'0022200512';1610612752;30;33;29;23
'0022200611';1610612748;31;32;26;23
'0022200611';1610612760;26;30;32;23
'0022200984';1610612747;23;33;26;30
'0022200984';1610612763;21;36;23;23
'0022200317';1610612750;27;17;31;34
'0022200317';1610612763;26;22;24;29
'0022201126';1610612743;25;36;30;25
'0022201126';1610612755;18;39;20;34
'0022200318';1610612740;40;34;28;24
'0022200318';1610612761;29;18;31;30
'0022200198';1610612747;26;29;25;36
'0022200198';1610612751;22;24;31;26
'0022200556';1610612745;26;29;32;19
'0022200556';1610612742;18;26;39;28
'0022200565';1610612739;15;18;0;26
'0022200565';1610612756;14;29;0;21
'0022200552';1610612739;27;20;44;39
'0022200552';1610612741;34;31;31;34
'0022201100';1610612763;42;41;36;32
'0022201100';1610612745;30;22;32;30
'0022201137';1610612751;30;24;32;37
'0022201137';1610612745;25;30;32;27
'0022200113';1610612749;31;25;29;31
'0022200113';1610612765;26;21;21;23
'0022200405';1610612742;23;43;31;24
'0022200405';1610612760;28;24;38;24
'0022201054';1610612747;33;21;26;30
'0022201054';1610612742;29;33;27;22
'0022200826';1610612761;34;23;31;24
'0022200826';1610612759;24;30;21;23
'0022201190';1610612754;29;38;31;31
'0022201190';1610612752;38;32;35;33
'0022200049';1610612763;39;25;45;25
'0022200049';1610612751;34;35;28;27
'0022200528';1610612742;36;29;34;30
'0022200528';1610612745;30;21;28;35
'0022201230';1610612757;27;26;20;28
'0022201230';1610612744;55;29;34;39
'0022200868';1610612761;35;30;29;29
'0022200868';1610612753;27;43;19;24
'0022201009';1610612745;32;23;40;16
'0022201009';1610612741;22;32;33;32
'0022200845';1610612746;27;24;25;30
