game_id;team_id;period1Score;period2Score;period3Score;period4Score
22201054;1610612747;33;21;26;30
22201054;1610612742;29;33;27;22
22200826;1610612761;34;23;31;24
22200826;1610612759;24;30;21;23
22201190;1610612754;29;38;31;31
22201190;1610612752;38;32;35;33
22200049;1610612763;39;25;45;25
22200049;1610612751;34;35;28;27
22200528;1610612742;36;29;34;30
22200528;1610612745;30;21;28;35
22201230;1610612757;27;26;20;28
22201230;1610612744;55;29;34;39
22200868;1610612761;35;30;29;29
22200868;1610612753;27;43;19;24
22201009;1610612745;32;23;40;16
22201009;1610612741;22;32;33;32
22200845;1610612746;27;24;25;30
22200845;1610612749;22;32;27;38
22200889;1610612755;22;25;28;35
22200889;1610612763;37;22;22;24
22200013;1610612756;24;21;31;31
22200013;1610612742;32;30;19;24
22200489;1610612743;32;26;35;27
22200489;1610612757;27;37;16;27
22200738;1610612748;26;24;23;37
22200738;1610612753;31;28;20;26
22200872;1610612757;27;25;22;27
22200872;1610612764;31;28;38;29
22200241;1610612764;35;24;18;29
22200241;1610612766;27;28;24;23
22200925;1610612761;24;20;26;34
22200925;1610612741;23;23;26;26
22200314;1610612738;38;30;34;32
22200314;1610612748;35;25;36;25
22200350;1610612758;29;33;20;28
22200350;1610612741;27;20;31;23
22200123;1610612764;28;29;13;16
22200123;1610612751;38;31;27;32
22200559;1610612757;22;39;41;33
22200559;1610612765;27;25;30;24
22200218;1610612742;28;23;23;18
22200218;1610612745;31;26;19;25
22200614;1610612762;31;24;33;28
22200614;1610612739;24;31;29;30
22200232;1610612762;42;32;33;27
22200232;1610612756;35;31;39;28
22200139;1610612756;35;26;23;18
22200139;1610612757;26;14;21;21
22200653;1610612743;31;38;25;25
22200653;1610612753;25;29;34;28
22200328;1610612738;27;35;25;23
22200328;1610612748;27;32;22;29
22200976;1610612758;29;30;38;26
22200976;1610612740;32;27;20;29
22200733;1610612745;25;23;26;21
22200733;1610612739;37;37;23;16
22200065;1610612757;31;25;25;17
22200065;1610612748;28;33;33;25
22201003;1610612747;31;39;15;37
22201003;1610612761;35;27;28;22
22201066;1610612765;29;18;34;19
22201066;1610612748;26;26;22;38
22200973;1610612764;28;20;32;31
22200973;1610612749;34;25;24;34
22200634;1610612764;21;32;23;32
22200634;1610612752;19;31;30;32
22200275;1610612738;36;28;30;28
22200275;1610612758;22;40;22;20
22200972;1610612754;39;40;35;29
22200972;1610612755;38;40;36;33
22200711;1610612757;40;34;45;28
22200711;1610612759;38;36;27;26
22201087;1610612741;23;25;28;15
22201087;1610612755;36;40;20;20
22200516;1610612764;36;28;29;34
22200516;1610612756;21;34;29;18
22201122;1610612765;27;24;39;27
22201122;1610612749;31;26;37;32
22200063;1610612762;22;39;28;20
22200063;1610612745;21;28;26;26
22200248;1610612739;38;26;21;29
22200248;1610612737;26;33;23;20
22200244;1610612739;28;31;36;18
22200244;1610612748;27;15;22;23
22200484;1610612739;31;22;25;29
22200484;1610612761;39;30;29;20
22201059;1610612764;33;27;32;26
22201059;1610612758;37;34;33;28
22200724;1610612740;34;18;21;29
22200724;1610612750;26;20;39;26
22201142;1610612760;26;28;30;23
22201142;1610612765;26;30;24;26
22201026;1610612758;32;30;25;37
22201026;1610612749;27;26;37;43
